	zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta11g00260	6571856.07302366	8246029.96822216	7497863.6772558	6265445.92728445	6757563.11388967	7249422.38720827	6054724.85928153	6744195.83010453	6435533.14540745	9568544.43463929	9535732.96964025	8029651.2308959	10421450.5979033	10182011.2892702	7723621.67211134	11292983.4346165	9456256.43381514	10078172.5528284
ostta10g01280	7402376.02929418	8468268.21051721	8325442.16833477	7926765.50698865	6038753.60185593	8619520.96092788	5817518.62921183	6062057.40823598	8190098.70998274	8192315.9619449	8975604.43561011	7444159.00754862	9139351.3330989	9761175.19573699	8086568.32810177	9833060.41838164	9364719.31276098	9688970.06990555
ostta10g00930	3577832.63140463	4306663.14225076	1695420.3307265	3966740.23659756	3304715.16571576	3718523.64478368	3397445.70395167	3451483.79357849	2281196.80138999	2782552.91038981	2596179.23222433	1571064.00807423	3066504.50460426	3711174.57371748	1726686.22358088	3145079.89487752	3086832.02507312	3417112.55020576
ostta09g02130	3811958.37314799	2581318.99697279	3983577.58197071	3567004.50971774	3314199.44161848	2851492.82015387	3647703.0644283	3045409.743754	4120816.86658601	3879809.59580638	3153391.72279267	4194415.92287001	4470458.68669288	3049009.0823853	4550610.13850607	3807306.96830105	3250271.55345252	3087221.93730676
ostta01g05020	18338370.9441825	23290566.1639715	20389047.7883354	21003328.2226366	21302760.7634461	19270203.6936242	16735038.6022888	20325864.911633	16494909.4461177	17168118.9510144	17043322.5255131	14915377.5652278	17969485.4549038	17741311.0565595	12643271.4509115	18518707.7098513	17110851.5022852	20506592.0081758
ostta08g00980	3364478.22951114	3753219.19499143	2926318.58868166	3195573.60248758	3187275.64814224	3591837.37660957	3077072.71998492	3282254.68162154	3207263.94533491	2457685.24294381	2461602.56556843	2703519.57951324	2823583.78368232	3263889.35390489	2738539.62915303	3274205.62316108	2684303.61289094	3007920.98133832
ostta05g02680	901757.70056701	814568.809939622	614165.632766569	905743.455189552	762089.105711049	910533.387742112	904314.390255916	709135.108725726	842444.790235103	1321072.119454	948902.21538914	456929.643544052	890313.164582548	996207.456461341	699394.616465716	897646.236746407	1033643.72755348	911601.525887665
ostta10g03200	9306911.88231403	7843958.46053793	5396002.99290539	9451600.08007133	9150919.91065523	9723677.17544401	9735354.25885029	9142834.91981719	5726472.56219852	5354189.6692243	4806011.09809257	5328329.65146586	5750978.62447343	5904306.77678344	5329203.22325691	6669040.88968725	5392955.49439699	7017580.70039761
ostta04g01570	5305527.94889714	6408670.12718217	3887847.42407606	5513081.40881483	5228412.75438107	5842833.18241288	5257761.45385156	5449185.96374398	3443422.62385249	5197078.68133043	4718211.54871846	3785396.28537474	5565273.6061725	5293431.80530682	3698495.25556974	6042042.42539009	4785052.62503233	4804447.07188625
ostta03g03210	1547306.16815497	2221692.72702155	877988.167524562	1796384.84400463	1798582.55074301	2173142.10472815	1596218.28275464	1803798.965363	958752.148604308	2373898.3050792	1639964.27471198	602275.624134897	1955949.28254491	2540085.23791272	758602.931243378	2114550.83684973	1989153.93859298	2758970.57953602
ostta01g03760	11011929.8578171	12306171.763729	12081584.3360025	9908507.54525011	10388691.512222	10898106.7538066	9826395.20439835	10177565.1546222	9940295.40327615	9695713.44071017	10333856.3700027	11278843.5614398	10477214.1038119	11460197.5109919	10518086.7624026	10907918.9534339	10842884.2245586	11123903.9468226
ostta06g02290	63370991.3324628	61428971.5781632	49606016.6734005	52571423.1090579	58937207.1058791	63370991.3324628	54768479.2679426	54327589.0872727	49474658.2638581	21867393.7484173	26103692.9649224	51862239.6141629	29969557.9852261	29331309.9058274	47115134.8846156	30868732.1523212	26633582.5060478	32233096.3829621
ostta19g00470	3862970.75215079	3995259.2091154	1888168.47526496	3709085.25882036	4219118.23804579	4474305.29352859	3631771.73364479	4195033.69321244	2285005.75001896	2596150.6671918	2753775.07938947	2379304.93048066	3267488.36938052	3358342.92858997	2422140.7765394	3749194.95163057	2726537.79413876	3172036.75858992
ostta17g02030	12435428.8156409	13683959.3118343	9456675.49905123	11597632.9459814	12555405.03671	13303472.9355554	11207639.3913081	11925066.249187	9742055.93968334	10606761.1734525	12541271.8462221	9629701.52895836	11835271.3867677	15202951.659395	10659255.4309548	13093995.8733521	12788450.9753267	14345473.976797
ostta08g02510	4424250.73994148	3905354.50293898	3264296.70297359	4564277.55814923	4165528.81886583	3635849.3906864	3807090.44057326	3922959.94231039	3429052.2073845	3425445.05889507	2781131.85915488	3911088.32928294	3773374.10777467	4101262.37949856	4319776.46860577	4116755.96833713	3069578.8026107	3388162.35480668
ostta13g00400	1268608.6141675	1237258.34752309	1104202.28995508	1329615.73255499	842430.27464106	1375694.55311092	1061199.85150746	636128.125438567	1157069.81248255	1315020.4362129	290874.84536133	1050115.07827224	735731.843482307	1427886.05155117	1194356.89820558	1304051.24750163	683466.279265603	557576.733357702
ostta13g02500	2345432.35830721	3077496.93389129	2636141.59172013	2251191.28755936	2643806.62761157	2615110.53798497	2229968.19113571	2011298.94927276	3045483.15216491	2524874.52722853	2881904.7592216	3239135.85941669	2562479.50122152	3740323.79292825	2930188.38067381	3062515.79305209	3067553.89218328	3672401.70315513
ostta01g03030	2079004.55033487	2557728.85371941	2322761.15069268	2431536.06323319	2027511.94362866	2598204.25125613	2687334.51039005	1939731.8057347	2428100.80343341	1666929.38089115	1577874.17429541	2580858.04275147	1384371.96760157	1802244.57268734	2475619.89932254	1994117.3852541	1823979.92628808	1820492.07198216
ostta10g02360	1276601.93884673	1740403.0781775	954511.187964003	1432517.54495155	1445370.13742639	1791512.7660059	1370651.37253413	1338707.95840066	892335.039369024	1451811.33794989	1124404.56995528	946527.854390494	1313225.4444429	1564928.64729861	927473.682486726	1638157.58661418	1360585.21666629	1004123.14649419
ostta11g01210	840703.682687596	1146669.85754713	607690.229060752	760737.597031621	576766.666819711	999493.852828542	639483.218061256	854432.673631645	794105.309307961	490850.969251878	647851.02744994	369549.527202234	662745.580949893	575544.258119379	574381.15900296	630167.360347356	418885.553243042	497144.781743224
ostta12g00160	3700738.69170024	4246085.27216497	2977255.12089115	3680579.42076498	3399357.09268953	4239771.03008344	3423919.64999451	3434585.9585966	3077659.48742703	3525573.34455855	3751918.46049722	2707428.49454108	4094950.57855864	4352026.07045124	3289120.23565906	4694221.56398081	3910023.59506545	3703260.09299191
ostta06g03450	2883038.37912585	2859317.37679231	2819698.92380629	2675592.79576729	2859310.14875018	3013682.48402344	2843852.61492461	2888022.17960416	3060914.79720683	2598254.59664634	2574604.44506817	3362865.84799817	2518899.00993924	3349049.70875918	3089141.91933106	3025737.2855686	2875012.31896103	2931066.35063382
ostta13g00360	1660277.64601009	1902840.53373851	1899723.06025425	1319458.23815528	1374969.5099159	2060440.66411681	1256690.83954007	1787618.8320145	2532903.8081663	845823.037167873	1579901.83387899	2023505.42968483	1647196.24695255	1885876.58340638	1901045.86328631	1847168.33238863	1773934.90641852	2338419.84126141
ostta07g04370	18639509.6009464	18356171.7324933	15976945.1497308	19116389.1787447	18682766.5302725	19015984.5403281	22980024.4793298	18201620.2718879	21994389.4563477	18831745.0433687	18153238.8363302	19597269.7567289	19764839.4133133	19246078.5384259	21250474.1703904	20214809.3339092	17059903.4990012	17476340.5690249
ostta11g00460	775219.189054583	540490.681928157	340251.673130736	678605.075742839	525203.149750138	572730.748968322	604699.953822347	430782.066281844	232890.111658127	530244.316943593	520426.741872417	314573.557461521	612935.556511995	621247.924873621	449079.798915437	459993.543582888	487057.134787185	491998.635475286
ostta11g00220	478092.663934794	505079.381382184	303649.555993975	425060.96258545	359235.377096764	736298.260948394	488827.372114781	571065.252137081	141256.464998774	235777.017945821	95655.3940916031	131067.753549272	449527.178297727	225718.309351051	166051.073894919	549875.668267459	413177.056953539	348890.473427258
ostta12g02960	3208019.79685086	3209215.15701556	3192885.43370589	3111765.97685046	3046908.16944417	3409810.84772389	2970256.43808947	3053842.92483187	2768157.40566717	3621884.58090407	3480365.93764619	3532743.55344163	3824746.03153869	3884268.22843027	3786518.90360229	4087132.37826256	3453277.67690982	3486080.66730375
ostta03g00870	3706201.25903869	4477816.6474374	2133339.82120714	3843819.6518427	3545498.65027556	4591837.23987923	3775262.92949892	3575096.64219868	2403011.38741195	5743977.07904549	5772809.86505808	2945265.89593079	5983915.25488322	6567086.83944136	2902353.44541622	6517839.94570131	5881637.49420053	6032227.43820747
