zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta11g00180	1430077.53549883	1245618.38780944	953881.176993798	1355672.49995296	1595726.46698569	1129639.66949078	1436487.68577269	1410544.92242025	1135773.13286513	2307427.08768193	1818915.43784196	1121502.51240285	2708001.09216995	1237028.35207189	1647005.80335727	1280228.09836032	2305204.29137053	952562.776068717
ostta14g01040	14497921.4315408	19307730.5336008	18276753.884656	15583955.7302027	20923118.4078646	18083675.5234557	14731991.2105897	16971927.715781	20552459.7006801	16577180.6276202	14883162.4346562	19262482.0832036	15096688.6850556	17865254.7467837	19660432.2654867	14759677.7534944	18658116.6353295	18279958.1105953
ostta03g04670	6248665.05041068	7778419.14638565	5501102.43554952	6166042.68818502	7133611.50099822	5637943.52183235	6270174.27026999	6158548.96376699	6458660.62668527	7337023.3524004	7318910.93657573	5061164.11065555	6347283.96490833	6307745.90051736	4981106.62679494	5793976.65656905	6763920.19158326	5503069.12373385
ostta10g02060	818031.539769255	1041300.36372262	599657.886093879	535954.147271906	1019328.24740799	569642.560286954	966377.600697909	1021048.90047502	824661.53249426	1328758.59924747	1447223.83606109	428524.549185489	1089537.76683415	214272.113043543	871857.407001754	304660.718710125	1086996.77193408	599061.023693585
ostta09g02130	11371142.8730907	12172709.1636583	11302678.2020359	11164069.1330526	10568582.1266807	8477257.19568565	9100053.77057507	9968873.17034027	8572880.55837262	6478019.1192239	6129146.70001502	9608046.34550627	10166156.8026902	9673824.57086218	9553943.40714541	11129087.9231058	11899952.882806	11305488.5491015
ostta11g00260	12153688.4404238	17047428.3647324	10737387.9646229	11128599.4769374	14011258.5879156	8351384.6726152	10664416.8522155	11510278.3719619	7605582.48090001	13809760.2340327	17517839.0822853	8458358.15268394	14182113.7070498	11217157.788005	9203329.9050082	11460092.3717995	12591879.324822	10740613.2400559
ostta01g03760	8940265.37792648	14393414.1716279	11139122.5326201	9581487.277514	11765588.5955314	9392439.74707512	8471146.81224275	10939993.3588815	9187644.64473071	11139073.3152155	11545912.5943695	10282766.6492199	11077596.4732942	10664688.1188267	9221471.4318099	10340883.2190372	11077596.4732942	11142163.8392352
ostta12g02840	2336573.85463537	3371531.36040327	2038649.60199521	2358894.65058547	3065166.29576407	1906260.12386494	2467237.1431522	2421342.63111164	2069026.50044133	3801793.04286114	3537319.22617881	1625897.3291803	2633672.59234447	2135151.50244361	1853830.40237592	2227043.83751404	2671485.82746617	2034253.80971426
ostta07g04410	3521913.04666164	3933162.87453356	2423461.18244657	3521539.12204149	3934771.60390434	3229608.17127308	4180271.30699672	3369083.20229234	3676617.48040123	3722609.49811203	3160400.93975399	2179361.49665814	4142693.73355244	4107626.00227102	2303007.82793598	3497604.59392928	3227959.13227824	2417187.44173064
ostta08g00980	3171922.38093268	3362583.94993893	2518856.46663934	3014240.49449401	3266495.8254861	2917937.5732131	2926444.01044878	2643938.93474814	2644912.54325741	2973972.36071256	3040088.01817583	2147615.6236103	2840850.85528416	2475091.86886918	2265928.71044625	2714273.61259448	2690212.85424376	2513656.70905451
